key,n,p30,p45,p60,period,product,split
1001-1500,95665,0.22024773950765691,0.16413526368055192,0.1270266032509277,2024-07,arr,distance
1501-3000,82957,0.20044119242499125,0.14728112154489675,0.11301035476210566,2024-07,arr,distance
3000+,1535,0.16026058631921825,0.11270358306188925,0.08729641693811074,2024-07,arr,distance
ATL,28195,0.27948217769107997,0.2193296683809186,0.17637879056570313,2024-07,arr,origin_airport
BOS,12531,0.20006384167265182,0.1564919000877823,0.11946372994972468,2024-07,arr,origin_airport
CLT,18282,0.35800240673886885,0.2883163767640302,0.23717317580133465,2024-07,arr,origin_airport
DCA,11511,0.22343845017809053,0.17452871166710104,0.14064807575362698,2024-07,arr,origin_airport
DEN,27826,0.18863652698914685,0.13505354704233452,0.09979874937109179,2024-07,arr,origin_airport
DFW,28464,0.26949831365935917,0.2003232152894885,0.15366779089376054,2024-07,arr,origin_airport
LAS,15676,0.2306710895636642,0.1686016841030875,0.12413881092115335,2024-07,arr,origin_airport
LAX,17033,0.15822227440850115,0.11442493982269712,0.08753595960782011,2024-07,arr,origin_airport
LGA,13506,0.22656597067969791,0.18043832370798163,0.14793425144380276,2024-07,arr,origin_airport
MCO,12937,0.26080234984926953,0.20159233207080468,0.16340728144082864,2024-07,arr,origin_airport
MSP,11261,0.20610958174229643,0.15717964656780037,0.12254684308675962,2024-07,arr,origin_airport
ORD,23783,0.239372661144515,0.18290375478282808,0.14173989824664676,2024-07,arr,origin_airport
PHX,15414,0.1804852731283249,0.130530686388997,0.0993252886985857,2024-07,arr,origin_airport
SEA,15890,0.14965387035871616,0.08999370673379484,0.060541220893643805,2024-07,arr,origin_airport
SFO,11510,0.14943527367506515,0.11225021720243267,0.08349261511728931,2024-07,arr,origin_airport
